Case,Year,Cause of Tsunami,Focal Depth (kilometers),Magnitude,Country,Locationname,Latitude,Longitude,Height,Intensity,Deaths,Missing,Injuries,Damage (Million USD),Houses Destroyed,Houses Damaged
1,1950,Earthquake,33,7.7,COSTA RICA,COSTA RICA-NICARAGUA,11,-85,0.1,-2,,,,,,
2,1950,Earthquake,65,7.5,GUATEMALA,GUATEMALA,14.31,-91.917,0.2,-1,,,,,,
3,1950,Earthquake,50,7.5,MEXICO,S. MEXICO,16.48,-98.22,0.3,,,,,,,
4,1951,Earthquake,12,6.9,USA,HAWAII,19.5,-156,3.6,0.5,,,,,,
5,1951,Earthquake,21,7.3,TAIWAN,TAIWAN,23.8,121.7,0.3,,68,,586,,2382,
6,1952,Earthquake,45,8.1,JAPAN,SE. HOKKAIDO ISLAND,42.15,143.85,6.54,2,33,,572,,2422,
7,1952,Earthquake,20,7,JAPAN,SE. HOKKAIDO ISLAND,41.7,143.6,0.3,-2,,,17,,113,
8,1952,Earthquake,33,4.5,USA,HAWAII,19.1,-155,1,0,,,,,,
9,1952,Earthquake,25,7.8,PHILIPPINES,"E. OF MINDANO, PHILIPPINES",9.5,127.25,0.33,,,,,,,
10,1952,Earthquake,22,9,RUSSIA,KAMCHATKA,52.755,160.057,20,4,4000,,,1,,
11,1953,Earthquake,60,7.4,JAPAN,"KASHIMA, JAPAN",34,141.7,3,1.5,1,,,,,
12,1953,Earthquake,30,7.4,PERU,N. PERU,-3.4,-80.6,1,0.5,6,,20,,200,
13,1954,Earthquake,30,6.1,JAPAN,"MIYAGI, JAPAN",38.9,142.2,,-1,,,,,,
14,1955,Earthquake,30,7.1,CHILE,CENTRAL CHILE,-30,-72,1,1,1,,,,,
15,1956,Earthquake,20,6.3,JAPAN,NE. HOKKAIDO ISLAND,44.3,144.1,0.4,-2,,,,,,
16,1956,Earthquake,20,7.8,GREECE,CYCLADES,36.9,26,30,5,56,,,,,
17,1957,Earthquake,33,8.6,USA,"ANDREANOF ISLANDS, AK",51.292,-175.629,22.8,3,2,,1,,,
18,1957,Earthquake,25,7.9,MEXICO,S. MEXICO,16.5,-99.1,1.3,0.5,65,,,25,,
19,1958,Earthquake,60,7.6,ECUADOR,COLOMBIA-ECUADOR,1.5,-79.5,,2,115,,46,,,
20,1958,Earthquake,40,8.3,RUSSIA,S. KURIL ISLANDS,44.53,148.54,5,2.5,,,,,,
21,1959,Earthquake,40,6.8,JAPAN,SANRIKU,37.5,142.2,0.8,-2,,,,,,
22,1959,Earthquake,60,8.2,RUSSIA,KAMCHATKA,52.5,159.5,0.2,1,,,,,,
23,1959,Earthquake,33,7.3,SOLOMON ISLANDS,SOLOMON ISLANDS,-7.5,156,1,,,,,,,
24,1959,Earthquake,10,6.7,JAPAN,SANRIKU,37.5,143.2,0.11,-4,,,,,,
25,1960,Earthquake,20,7.5,JAPAN,SANRIKU,39.8,143.4,1,-2,,,,,,
26,1960,Earthquake,20,6.7,JAPAN,SANRIKU,39.4,143.7,0.75,-2.5,,,,,,
27,1960,Earthquake,35,8.2,CHILE,CENTRAL CHILE,-37.872,-73.243,0.3,-1,,,,,,
28,1960,Earthquake,33,9.5,CHILE,CENTRAL CHILE,-39.5,-74.5,25,4,2234,,3000,1000,58622,
29,1960,Earthquake,30,6.7,JAPAN,SANRIKU,40.3,142.5,0.3,-3,,,,,,
30,1961,Earthquake,40,6.8,JAPAN,"KASHIMA, JAPAN",36,142.3,0.4,-2,,,,,,
31,1961,Earthquake,20,6.4,JAPAN,"KASHIMA, JAPAN",36,141.9,0.4,-2,,,,,,
32,1961,Earthquake,20,6.5,JAPAN,"KASHIMA, JAPAN",36.2,141.9,0.4,-2,,,,,,
